Title,Size(m2),#Room,Price(TL),Date,District, Neigborhood, Address,Page Number
Nispetiye nin Gözdesi Peker Sokakta Özel Konumda 3+1,120,3+1,27500,19-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,2
PV BROKERS ULUS SAVOY FLAT FOR RENT,185,3+1,200000,19-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,2
AKATLAR GAZETECİLER SİTESİ MERKEZİ KONUMDA KİRALIK 3+1 DAİRE,120,3+1,25000,19-07-2023,Akatlar,Akat Mah.,Akatlar Akat Mah.,2
İTÜ Maçka Kampüsü Karşısında Residece Kalitesinde 2.5 +1 Kiralık,170,2.5+1,45000,19-07-2023,Türkali,Vişnezade Mh.,Türkali Vişnezade Mh.,2
*BEŞİKTAŞ EMLAK*AKARETLER MEVKİ SIFIR 2+1 LÜXS DAİRE,90,2+1,25000,19-07-2023,Türkali,Vişnezade Mh.,Türkali Vişnezade Mh.,2
Doğadan cadde üzerinde komple yenilenmiş 2.Kat köşe daire,95,2+1,25000,19-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,2
ÇARŞIDA YENİ BİNADA EŞYALI FATURALAR DAHİL TEK KİŞİLİK ODA,90,8+1,12500,19-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,2
,,,NA,2023-07-20,,NA,,2
"Ulusta full aktiviteli merkezi sitede eşyalı, ebeveyn banyo 4+1",240,4+1,120000,19-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,2
*BEŞİKTAŞ EMLAK*AKARETLERE 2 DAKİKA EŞYALI 2+1 DAİRE,120,2+1,50000,19-07-2023,Abbasağa,Sinanpaşa Mh.,Abbasağa Sinanpaşa Mh.,2
BEŞİKTAŞ MERKEZDE YENİLENMİŞ 135M2 BAKIMLI FERAH 3+1 DAİRE,135,3+1,22000,19-07-2023,Abbasağa,Sinanpaşa Mh.,Abbasağa Sinanpaşa Mh.,2
__BAYRAKTAR'DAN ABACI LATİF SOKAKTA 1+1 70M2 3.KAT EŞYALI FERAH_,80,1+1,30000,19-07-2023,Türkali,Vişnezade Mh.,Türkali Vişnezade Mh.,2
ULUS TURİZM SİTESİNDE KİRALIK 2+1 BAHÇELİ DAİRE,137,2+1,27000,19-07-2023,Levazım,Kültür Mh.,Levazım Kültür Mh.,2
"METE'den Ortaköy'de 1+1,52m2,Düz Giriş,Kiralık Köşe Daire",52,1+1,11500,19-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,2
SADIKOĞLU'ndan 4.Levent Metro'ya 200m Mesafe 4.Kat Ultra Lüx 2+1,75,2+1,25000,19-07-2023,Levent,Konaklar Mah.,Levent Konaklar Mah.,2
Beşiktaş - Akatlar kiralık 2+1,110,2+1,25000,19-07-2023,Akatlar,Akat Mah.,Akatlar Akat Mah.,2
BEŞİKTAŞ MERKEZDE EŞYALI 2+1 GÜNLÜK KİRALIK DAİRE,90,1+1,1500,19-07-2023,Abbasağa,Sinanpaşa Mh.,Abbasağa Sinanpaşa Mh.,2
"Akatlar Gazeteciler Sitesinde, Güvenlikli, Otoparklı Şahane Dair",120,3+1,25000,19-07-2023,Akatlar,Akat Mah.,Akatlar Akat Mah.,2
"49 REALTY'DEN SIFIR BİNA,LEVAZIM,­ULUS,TERASLI BOĞAZ MANZARA 2+1",120,2+1,75000,19-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,2
1.LEVENT'TE ÇİFT BALKON YEŞİLLİKLER İÇİNDE 3+1 KİRALIK DAİRE,130,3+1,38000,19-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,2
"49 REALTY'DEN SIFIR BİNA,LEVAZIM,­ULUS,TERASLI BOĞAZ MANZARA 2+1",120,2+1,75000,19-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,3
1.LEVENT'TE ÇİFT BALKON YEŞİLLİKLER İÇİNDE 3+1 KİRALIK DAİRE,130,3+1,38000,19-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,3
KANYON A YURUME MESAFESİNDE 2+1 KiRALIK DAİRE,85,2+1,17000,19-07-2023,Levent,NA,Levent,3
SÜPER KONUM! BEŞİKTAŞ FULYA ACIBADEM HASTANESİ YANINDA,55,1+1,10000,19-07-2023,Gayrettepe,Dikilitaş Mh.,Gayrettepe Dikilitaş Mh.,3
BEŞİKTAŞ Şair Nedim de Üniversiteye Yakın Eşyalı Kupon 1+1 Daire,85,1+1,25000,19-07-2023,Abbasağa,Sinanpaşa Mh.,Abbasağa Sinanpaşa Mh.,3
ÇAĞ EMLAKTAN ORTAKÖYDE DÜZ AYAK EŞYALI 2+1DAİRE KOMBİLİ,80,2+1,17000,19-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,3
"ÇİFTÇİ TOWERS'da B TİPİ 251m2 MUHTEŞEM 2,5+1 KİRALIK DAİRE",251,2.5+1,130000,19-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,3
BEŞİKTAŞ DA TURKALI MAHALLESI ÜZERİ 3+1 KONUT KİRALIK,120,3+1,18000,19-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,3
SAYHAN SİTESİNDE 2+1 KİRALIK DAİRE,105,2+1,25000,19-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,3
REMAX TİME'DAN ORTAKÖY'DE FULL EŞYALI 2+1 ASANSÖR/OTOPARKLI,85,2+1,22500,19-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,3
LEVAZIM KORUKENT SİTESİ'NDE KİRALIK EŞYALI BAHÇE DUBLEKSİ,230,3+1,59000,19-07-2023,Levazım,Levazım Mh.,Levazım Levazım Mh.,3
,,,NA,2023-07-20,,NA,,3
AKSÜSTEN 2+1 90M2 YENİ MUTFAK SAHİLE 1DK,99,2+1,18500,19-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,3
KONAK GAYRİMENKUL'DN 1+1 HERŞEY DAHİL KISA VE UZUN DÖNEME UYGUN,82,1+1,50000,19-07-2023,Gayrettepe,NA,Gayrettepe,3
DENİZ MENZERELİ** BALKONLÜ** BEŞİKTAŞDA **1+1 DUBLEX**,70,1+1,15000,19-07-2023,Türkali,Vişnezade Mh.,Türkali Vişnezade Mh.,3
ABN' den Bebek 'te Kiralık O.Parklı Fırsat Bahçe Katı Daire,120,1+1,30000,19-07-2023,Bebek,NA,Bebek,3
ULUS ARYA SİTESİ NDE GENİŞ 240M2 4+1 LÜKS EŞYALI KİRALIK DAİRE,240,4+1,130000,19-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,3
A Z EMLAK'DAN ORTAKÖY PALANGA'DA HAVUZLU EŞYALI BAHÇE DUBLEKSİ,210,4+1,175000,19-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,3
Taşınmaya Hazır Ulus Dominos Aralığında Otoparklı Kiralık 3+1,180,3+1,56000,19-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,3
Ortaköyde Full Boğaz Manzaralı 160M² 3+1 3.kat by S-HOME,180,3+1,31000,19-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,3
BEŞIKTAŞ BARBAROS BULVARINDA TERASLI MUHTEŞEM MANZARALI DUBLEKS,220,5+2,63000,19-07-2023,Abbasağa,Cihannüma Mh.,Abbasağa Cihannüma Mh.,3
"Ulus Siral Sitesi 210 m2,4+1 Modern Tasarımlı Havuz Cepheli",210,4+1,60000,19-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,4
AKATLAR'DA ASANSÖRLÜ BİNADA 3+1 BAKIMLI DAİRE,130,3+1,30000,19-07-2023,Akatlar,Akat Mah.,Akatlar Akat Mah.,4
BOĞAZ MANZARALI BALKONLU EŞYALI 1+1 DUBLEX,80,1+1,14000,19-07-2023,Türkali,Vişnezade Mh.,Türkali Vişnezade Mh.,4
ULUS'da KORU İÇİNDE 300m2 MUHTEŞEM MANZARALI BAHÇELİ TRİPLEX,300,3+2,270000,19-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,4
"Etiler Hareket Sitesinde 3+1, Bahçe Kullanımlı Masrafsız Daire",120,3+1,30500,19-07-2023,Etiler,NA,Etiler,4
BEŞİKTAŞ ÇİMEN EMLAKTAN ABBASĞADA KİRALIK DAİRE,80,2+1,17000,19-07-2023,Abbasağa,Abbasağa Mh.,Abbasağa Abbasağa Mh.,4
Turyap'tan Etilerde 5+1 200m2 Bakımlı Ferah Dubleks Daire,220,5+1,58000,19-07-2023,Etiler,NA,Etiler,4
Gayrettepe Merkezde Kiralık 3 + 1 Daire,155,3+1,27000,19-07-2023,Gayrettepe,NA,Gayrettepe,4
FDN'den Yeni Binada Otoparklı Full Eşyalı 1+1 Daire,55,1+1,20000,19-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,4
DEREBOYU CDS 200 METRE BAHÇE KULLANIMLI 2+1 85 m2 16000 TL,85,2+1,16000,19-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,4
ZORLU HOLDİNG ARKASI KİRALIK 4+1 DUBLEKS EŞYALI CADDE ÜZERİ,160,4+1,42000,19-07-2023,Levent,NA,Levent,4
Ulus Koruda 300m2 Kullanımlı Manzaralı Bahçeli Triplex Daire,300,3+2,270000,19-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,4
ETİLER B.MANZARALI MODERN EŞYALI UZUN KISA DÖNEM KİRALIK 4+1,175,4+1,195000,19-07-2023,Etiler,NA,Etiler,4
BEBEK SIRTTA MODERN EŞYALI UZUN- KISA DÖNEM KİRALAMAYA UYGUN 3+1,170,3+1,150000,19-07-2023,Bebek,NA,Bebek,4
Akatlar Şişli Terakki Okul karşısında Tadilatlı Otoparklı 3+1,120,3+1,45000,19-07-2023,Akatlar,Akat Mah.,Akatlar Akat Mah.,4
KONAK EMLAK EŞYALI 1+0 KİRALIK DAİRE,60,Stüdyo (1+0),10500,19-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,4
Ulus Savoy'da yeni kiralik 3+1 daire,160,3+1,130000,19-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,4
Etiler Cengiztopel de 130m2 3+1 manzaralı garajlı asansörlü,140,3+1,40000,19-07-2023,Etiler,NA,Etiler,4
Bebek Yeni Eşyalı 1+1 Kiralık (416),96,1+1,51990,19-07-2023,Bebek,NA,Bebek,4
FDN'den Beşiktaş'ta Full Eşyalı 2+1 Kiralık Daire,130,2+1,29000,19-07-2023,Abbasağa,Sinanpaşa Mh.,Abbasağa Sinanpaşa Mh.,4
ADİL&AYDIN'DAN ARNAVUTKÖY'DE BAHÇELİ MÜSTAKİL GİRİŞLİ 1+1 DAİRE,90,1+1,42000,19-07-2023,Arnavutköy,Arnavutköy Mh.,Arnavutköy Arnavutköy Mh.,5
METROYA YAKIN TEK KİŞİLİK ERKEK APART,20,Stüdyo (1+0),4800,18-07-2023,Gayrettepe,NA,Gayrettepe,5
METROYA YAKIN TEK KİŞİLİK ERKEK APART,20,Stüdyo (1+0),5400,18-07-2023,Levent,NA,Levent,5
METROYA YAKIN TEK KİŞİLİK ERKEK APART,20,Stüdyo (1+0),5700,18-07-2023,Levent,Konaklar Mah.,Levent Konaklar Mah.,5
ULUS GAZETE MUHABİRLERİ SİTESİNDE EŞYALI 3+1 YEŞİLLİKLER İÇİNDE,130,3+1,40000,18-07-2023,Levazım,Kültür Mh.,Levazım Kültür Mh.,5
HER'O BROKER - BEŞİKTAŞ DİKİLİTAŞ'TA GENÇ BİNADA BAHÇE KEYFİ :),95,2+1,24000,18-07-2023,Gayrettepe,Dikilitaş Mh.,Gayrettepe Dikilitaş Mh.,5
Ulus Arya Sitesinde Mobilyalı Geniş 4+1 Lüks Arakat,240,4+1,135000,18-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,5
AKARETLER KONUMUNDA 2+1 BAKIMLI ÇİFT CEPHE 1.kat by S-HOME,75,2+1,18000,18-07-2023,Türkali,Muradiye Mah.,Türkali Muradiye Mah.,5
"NEST'TEN FULL MANZARALI 2011 YAPIMI, KAPALI GARAJ, ASANSÖR ÖZEL",110,1+1,60000,18-07-2023,Gayrettepe,Yıldız Mh.,Gayrettepe Yıldız Mh.,5
Cengiz Emlak'tan Nisbetiye'de Yenilenmiş 3+1 Daire,125,3+1,35000,18-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,5
Kw Gurbet | Ulus Kahve Dünyası Arka Sokağında 2+1 Kiralık Daire,90,2+1,20000,18-07-2023,Levazım,Kültür Mh.,Levazım Kültür Mh.,5
Levent Korukent Sitesi Kiralık Daire 220m2 Havuz Manzaralı 5+1,220,5+1,60000,18-07-2023,Levazım,Levazım Mh.,Levazım Levazım Mh.,5
"METE'den Etiler Çamlık'ta 2+1 Ultralux Deniz Manzaralı,Balkonlu",190,2+1,150000,18-07-2023,Etiler,NA,Etiler,5
ARNAVUTKÖY'de A'dan Z'ye YENİLENMİŞ *3+1* KİRALIK LÜX DAİRE,140,3+1,185000,18-07-2023,Arnavutköy,Arnavutköy Mh.,Arnavutköy Arnavutköy Mh.,5
BEŞİKTAŞ DA KISA DÖNEM KİRALIK DAİRE,70,1+1,30000,18-07-2023,Abbasağa,Cihannüma Mh.,Abbasağa Cihannüma Mh.,5
Gayrettepe Merkezde Bakımlı Eşyalı 2+1 ( Alfa Gayrimenkul ),90,2+1,25000,18-07-2023,Gayrettepe,NA,Gayrettepe,5
Teşvikiye-Beşiktaş arası Giriş katı Eşyalı,85,2+1,20000,18-07-2023,Türkali,Muradiye Mah.,Türkali Muradiye Mah.,5
Yeni ulus sitesinde ferah 4+1 kiralık daire,195,4+1,80000,19-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,5
ULUSTA THY SİTESİNDE FULL ESYALI BAKIMLI TRT YAKIN OLAN BİNA,100,2+1,40000,18-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,5
AKMERKEZE YAKIN KİRALIK DAİRE,130,3+1,25000,18-07-2023,Akatlar,Akat Mah.,Akatlar Akat Mah.,5
Yeni ulus sitesinde ferah 4+1 kiralık daire,195,4+1,80000,19-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,6
ULUSTA THY SİTESİNDE FULL ESYALI BAKIMLI TRT YAKIN OLAN BİNA,100,2+1,40000,18-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,6
AKMERKEZE YAKIN KİRALIK DAİRE,130,3+1,25000,18-07-2023,Akatlar,Akat Mah.,Akatlar Akat Mah.,6
BEBEK'TE BOĞAZ MANZARALI / OTOPARKLI / BALKONLU / 3+1 DAİRE,140,3+1,55000,19-07-2023,Bebek,NA,Bebek,6
HÜSREVGEREDE'DE.. ...3+1.......120 M2...........,125,3+1,30000,18-07-2023,Türkali,Vişnezade Mh.,Türkali Vişnezade Mh.,6
Etiler'de Metroya yakın Yeşillikler içinde Teraslı Kiralık Daire,100,2+1,30000,18-07-2023,Etiler,NA,Etiler,6
BEŞİKTAŞ TA ÇİMEN EMLAK TAN 2+1YENİ BİNADA KIRALIK FIRSAT DAİRE,110,2+1,26000,18-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,6
"GAYRETTEPEDE FULL EŞYALI ASANSÖRLÜ OTOPARKLI 3,5+1 KİRALIK DAİRE",160,3.5+1,36000,18-07-2023,Gayrettepe,NA,Gayrettepe,6
BEŞİKTAŞ VİŞNEZADEDE FULL EŞYALI ASANSÖRLÜ YENİ BİNADA FIRSAT,70,1+1,25000,18-07-2023,Türkali,Vişnezade Mh.,Türkali Vişnezade Mh.,6
ÇIRAĞAN ASARİYE CADDESİ KİRALIK 2+1 DAİRE,80,2+1,18500,18-07-2023,Gayrettepe,Yıldız Mh.,Gayrettepe Yıldız Mh.,6
BEBEK ÜSTÜNDE FULL MANZARALI MODERN DIZAYN KİRALIK DAİRE,200,3+1,190000,18-07-2023,Bebek,NA,Bebek,6
GÜVEN EMLAK DAN BAU KARŞISINDA OTOPARKLI 2+1,75,2+1,15000,18-07-2023,Abbasağa,Abbasağa Mh.,Abbasağa Abbasağa Mh.,6
NOVAM'DA ABBASAĞA MAHALLESİNDE ARA KAT KİRALIK STÜDYO DAİRE,40,Stüdyo (1+0),10000,18-07-2023,Abbasağa,Abbasağa Mh.,Abbasağa Abbasağa Mh.,6
,,,NA,2023-07-20,,NA,,6
LEVENT METROYA 7DK YENİ BİNADA FULL EŞYALI 2+1 LÜKS DAİRE,85,2+1,26000,18-07-2023,Levent,NA,Levent,6
Ulus'da Çamlıtepe sitesinde 1+1 Bakımlı Bahçe Katı,90,1+1,35000,18-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,6
"ÇİFTÇİ TOWERS'da A TİPİ 361m2 MUHTEŞEM 3,5+1 KİRALIK DAİRE",361,3.5+1,165000,19-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,6
BEŞİKTAŞ DA IHLAMURDERE CADDE ÜZERİ 3+1 KONUT KİRALIK,167,3+1,44000,18-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,6
CEYLAN EMLAK'TAN AKARETLER SÜLEYMAN SEBA CADDESİNDE 120 m2,120,3+1,33000,18-07-2023,Türkali,Vişnezade Mh.,Türkali Vişnezade Mh.,6
"Metro, Toplu ulaşıma yakın 3,5+1 150m2 Yüksek Giriş Daire",150,3.5+1,32000,18-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,6
GAYRETTEPE'DE ŞEHİR MANZARALI KAPALI GARAJLI İÇİ SIFIR GENİŞ 3+1,180,3+1,37500,18-07-2023,Gayrettepe,NA,Gayrettepe,6
KAYA A.Ş ETİLER MERKEZDE DÜNYA GÖZ HASTANESİNE YAKIN 2+1 DAİRE,110,2+1,26000,18-07-2023,Etiler,NA,Etiler,7
ETİLER HAREKET SİTESİ 6-12 AY KİRALAMAYA UYGUN EŞYALI 3+1 DAİRE,114,3+1,38450,18-07-2023,Etiler,NA,Etiler,7
Şampiyondan Barbaros Bulvarında Kiralık 3+1 Daire,100,3+1,16000,18-07-2023,Abbasağa,Cihannüma Mh.,Abbasağa Cihannüma Mh.,7
Şair Nedim Caddesi Üzeri Hem Balkonlu Hem Teraslı İçin Sıfır,150,3+1,30000,18-07-2023,Türkali,Vişnezade Mh.,Türkali Vişnezade Mh.,7
ULUS'DA İYİ KONUMDA 2+1 BAHÇELİ DAİRE,110,2+1,16000,18-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,7
Levent 4. Gazeteciler Sitesinde Tadilatlı 3+1 Kiralık Daire,120,3+1,28000,18-07-2023,Levent,NA,Levent,7
BEBEK KORU'DA 2+1 KİRALIK DAİRE,170,2+1,80000,18-07-2023,Bebek,NA,Bebek,7
'ATMACA' BEŞİKTAŞ SAHİLE YAKIN SIFIR EŞYALI STÜDYO DAİRE,55,Stüdyo (1+0),20000,18-07-2023,Abbasağa,Sinanpaşa Mh.,Abbasağa Sinanpaşa Mh.,7
ULUS KAMER SİTESİN DE HARİKA KONUMDA LÜX ÇATI DUBLEKSİ,320,4+1,125000,18-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,7
"Darphane Balmumcu'da, 3+1, Mükemmel, Bahçe Kat Daire",115,3+1,27000,18-07-2023,Gayrettepe,Balmumcu Mah.,Gayrettepe Balmumcu Mah.,7
"SAHİBİNDEN ETİLER AKMERKEZ KARŞISI,FERA­H,OTOPARKLI 2+1 EŞYALI",100,2+1,40000,18-07-2023,Akatlar,Akat Mah.,Akatlar Akat Mah.,7
"Yukarı Kuruçeşme'de 2+1 Deniz Manzaralı, Eşyalı Kiralık Daire.",95,2+1,35000,18-07-2023,Arnavutköy,Kuruçeşme Mh.,Arnavutköy Kuruçeşme Mh.,7
TÜRK EĞİTİM VAKFI'NDAN BEŞİKTAŞ'TA KİRALIK DAİRE,81,2+1,15000,18-07-2023,Abbasağa,Cihannüma Mh.,Abbasağa Cihannüma Mh.,7
ULUS AMBARLIDERE DE 3+1 ICI SIFIR DAIRE,150,3+1,50000,18-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,7
ETILERDE YENI BINAD'A 150M2 3+1 KİRALIK BAHCE KATI DAİRE !,150,3+1,80000,18-07-2023,Etiler,NA,Etiler,7
METE'den Ulus Sol Özel Koruda Deniz Manzaralı Bahçeli,320,5+1,250000,18-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,7
,,,NA,2023-07-20,,NA,,7
LEVENT LOFTTA ÖNÜ AÇIK ÖZEL DEKORASYONLU MASRAFSIZ KİRALIK KONUT,105,1+1,70000,18-07-2023,Levent,NA,Levent,7
NÜANS'TAN ULUS'TA OTOPARKLI ASANSÖRLÜ FULL EŞYALI TEMİZ 3+1,130,3+1,40000,18-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,7
"GÜVEN'DEN DİKİLİTAŞ'TA İÇİ YENİLENMİŞ,EŞYALI FIRSAT 1+1...",60,1+1,12000,18-07-2023,Gayrettepe,Dikilitaş Mh.,Gayrettepe Dikilitaş Mh.,7
Etiler Petrol Sitesi Kiralık 3+1 Daire,130,3+1,30000,18-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,7
ETİLER SİTEDE YENİ DEKORASYONLU BAHÇELİ LÜKS EŞYALI 3+1 KİRALIK,150,3+1,60000,18-07-2023,Etiler,NA,Etiler,8
Ali Obuz'dan Genç Binada Çift Teraslı Yüksek Tavanlı Daire,100,2+1,40000,18-07-2023,Etiler,NA,Etiler,8
Bebek Merkezde 3+1 Mobilyalı Boş,170,3+1,50000,18-07-2023,Bebek,NA,Bebek,8
"DİKİLİTAŞ MAH, FULL DENİZ MANZARALI 3+1 KİRALIK DAİRE",186,3+1,35000,18-07-2023,Gayrettepe,Dikilitaş Mh.,Gayrettepe Dikilitaş Mh.,8
Kültür Yeni Eşyalı 4+1 Kiralık (1255),198,4+1,80490,18-07-2023,Levazım,Kültür Mh.,Levazım Kültür Mh.,8
,,,NA,2023-07-20,,NA,,8
TURYAP MELTEM'DEN LEVAZIMDA ZORLU AVM'YE YAKIN BALKONLU 3+1 BOŞ,120,3+1,29500,18-07-2023,Levazım,Levazım Mh.,Levazım Levazım Mh.,8
ARKER GAYRİMENKUL'DEN ORTAKÖY'DE 1+1 60 M2 KİRALIK DAİRE,65,1+1,15500,18-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,8
Gayrettepe Selenium Panorama Residence Eşyalı 1+1 Kiralık (377),90,1+1,50490,18-07-2023,Gayrettepe,NA,Gayrettepe,8
BEBEK BACKYARD KARŞISINDA UZUN-KISA DÖNEM YEŞİLLİKLER İÇİNDE 3+1,140,3+1,70000,19-07-2023,Etiler,NA,Etiler,8
Levazım Modern Eşyalı 4+1 Kiralık (193),180,4+1,58490,18-07-2023,Levazım,Levazım Mh.,Levazım Levazım Mh.,8
KANYONA 9DK YURUME MESAFESİNDE ESYALI 2+1 KİRALIK DAİRE,80,2+1,20000,19-07-2023,Levent,NA,Levent,8
BEŞİKTAŞ ABBASAĞA KİRALIK 4+1 BAHÇE KATI DAİRE,150,4+1,25000,18-07-2023,Abbasağa,Abbasağa Mh.,Abbasağa Abbasağa Mh.,8
Beşiktaş'ın Kalbinde Boğaz Manzaralı Büyüleyici Daire,70,2+1,45000,18-07-2023,Türkali,Muradiye Mah.,Türkali Muradiye Mah.,8
ETİLER AKMERKEZ KARŞISI KİRALIK 2+1 FERAH DAİRE!!,100,2+1,30000,18-07-2023,Etiler,NA,Etiler,8
ÖZEL BAHÇE KULLANIMLI FERAH TEMİZ DAİRE...,120,3+1,34000,18-07-2023,Etiler,NA,Etiler,8
